"","Fault Code","Event Description","zoneID"
"Oberon AGC","12004","ZONE DOWN - STA 2","5"
"Oberon AGC","12005","ZONE DOWN - STA 2 SUB-ASM","5"
"Oberon AGC","12006","ZONE DOWN - STA 4","5"
"Oberon AGC","12007","ZONE DOWN - STA 5","5"
"Oberon AGC","12008","ZONE DOWN - STA 6","5"
"Oberon AGC","12009","ZONE DOWN - STA 7","5"
"Oberon AGC","12010","ZONE DOWN - UNLOAD STA","5"
"Oberon AGC","12011","ZONE DOWN - STA 3","5"
"Oberon AGC","12012","ZONE DOWN - STA 4-5 SUB-ASM","5"
"Oberon AGC","12013","NO UNIT AT POST FOAM ","5"
"Oberon AGC","12014","BLOCKED BY CONVEYOR ZONE 1","5"
"Oberon AGC","12016","BARCODE NOT VALID - LOAD STA","5"
"Conveyor Zone 1","12051","STA 11 ANDON PAST TAKT","6"
"Conveyor Zone 3","12051","STATION DOWN - STA 47","8"
"Conveyor Zone 2","12051","STA 40 TCI ANDON PAST TAKT","7"
"Conveyor Zone 3","12052","STATION DOWN - STA 51","8"
"Conveyor Zone 1","12052","CHRG STA ANDON PAST TAKT","6"
"Conveyor Zone 1","12053","STA 24 ANDON PAST TAKT","6"
"Conveyor Zone 3","12053","STATION DOWN - STA 55","8"
"Conveyor Zone 1","12054","STA 28 ANDON PAST TAKT","6"
"Conveyor Zone 1","12101","CYCLE STOP - STA 11","6"
"Conveyor Zone 3","12101","CYCLE STOP - STA 47","8"
"Oberon AGC","12101","NOT COMPLETE - LOAD STA","5"
"Conveyor Zone 2","12101","CYCLE STOP - STA 40 TCI","7"
"Oberon AGC","12102","NOT COMPLETE VISION STA","5"
"Conveyor Zone 3","12102","CYCLE STOP- STA 51","8"
"Conveyor Zone 1","12102","CYCLE STOP - CHARGE STA","6"
"Conveyor Zone 1","12103","CYCLE STOP - STA 24","6"
"Conveyor Zone 3","12103","CYCLE STOP - STA 55","8"
"Oberon AGC","12103","STATION 1 NOT COMPLETE","5"
"Oberon AGC","12104","STATION 2 NOT COMPLETE","5"
"Conveyor Zone 1","12104","CYCLE STOP - STA 28","6"
"Oberon AGC","12105","STATION 3 NOT COMPLETE","5"
"Oberon AGC","12106","STATION 4 NOT COMPLETE","5"
"Oberon AGC","12107","STATION 5 NOT COMPLETE","5"
"Oberon AGC","12108","STATION 6 NOT COMPLETE","5"
"Oberon AGC","12109","STATION 7 NOT COMPLETE","5"
"Oberon AGC","12110","BLOCKED - CONVEYOR ZONE 1","5"
"Oberon AGC","12201","HELP CALL - LOAD STA","5"
"Oberon AGC","12202","HELP CALL - VISION STA","5"
"Oberon AGC","12203","HELP CALL - STA 1","5"
"Oberon AGC","12204","HELP CALL - STA 2","5"
"Oberon AGC","12205","HELP CALL - STA 2 SUB-ASM","5"
"Oberon AGC","12206","HELP CALL - STA 4","5"
"Oberon AGC","12207","HELP CALL - STA 5","5"
